Product_name,Product_Brand,Product_Image,Product_Price,Product_Reviews,Product_Rating,output
"Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Beach Blue,Red,Rama)",Lymio,https://m.media-amazon.com/images/I/71-fFe9athL._AC_UL320_.jpg,349,239,4.3,shirt
Shirt for Men || Casual Shirt for Men || Men Stylish Shirt || Men Plain Shirt (Half-01-10),Lymio,https://m.media-amazon.com/images/I/719s6BCIJoL._AC_UL320_.jpg,479,129,4.3,shirt
Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Squre),Lymio,https://m.media-amazon.com/images/I/71WB6C5QbhL._AC_UL320_.jpg,349,106,4.3,shirt
Shirt for Men || Casual Shirt for Men || Men Stylish Shirt || Men Plain Shirt (Full Boult),Lymio,https://m.media-amazon.com/images/I/61GIFXX8XHL._AC_UL320_.jpg,499,8,4.5,shirt
Shirt for Men || Casual Shirt for Men || Men Stylish Shirt || Men Printed Half Sleeve Shirt (Half-Boalt-01-06),Lymio,https://m.media-amazon.com/images/I/71N5IW6OSeL._AC_UL320_.jpg,499,79,4.4,shirt
Men's Slim Fit Shirt,Allen Solly,https://m.media-amazon.com/images/I/71PnNitKnwL._AC_UL320_.jpg,729,5840,3.9,shirt
Solid Cotton Regular Fit Mens Casual Shirt,Wrangler,https://m.media-amazon.com/images/I/61x0igef3NL._AC_UL320_.jpg,1399,,,shirt
"Men's Cotton Buffalo Check Slim Fit Casual Shirt with Pocket, Full Sleeve Shirt for Formal & Casual Wear",Dennis Lingo,https://m.media-amazon.com/images/I/61C9QDGpuLS._AC_UL320_.jpg,699,5414,4.1,shirt
Solid Slim Fit Casual Shirt for Men,Majestic Man,https://m.media-amazon.com/images/I/61FoeaqoIaL._AC_UL320_.jpg,599,676,3.8,shirt
Men's Regular Fit Checked Casual Shirt,Peppyzone,https://m.media-amazon.com/images/I/61qIQ9QhSUL._AC_UL320_.jpg,639,15,3.9,shirt
Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Patta),Lymio,https://m.media-amazon.com/images/I/61LYRZ-uH6L._AC_UL320_.jpg,349,475,4.4,shirt
Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt,Lyriq,https://m.media-amazon.com/images/I/41K8J6J3fUL._AC_UL320_.jpg,399,687,4.4,shirt
Slim Fit Cotton Casual Printed Shirts for Men,Majestic Man,https://m.media-amazon.com/images/I/71zgBPS4RdL._AC_UL320_.jpg,399,280,4.1,shirt
Shirt for Men || Rayon Casual Shirt for Men || Tropical Leaf Printed Shirt for Men || Men Stylish Shirt with Preppy Short Sleeve || Turn-Down Collar Shirt for Boys.,DHRUVI TRENDZ,https://m.media-amazon.com/images/I/61vxe6yBqDL._AC_UL320_.jpg,349,20,4.8,shirt
Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt,Lyriq,https://m.media-amazon.com/images/I/710Axs3ouUL._AC_UL320_.jpg,398,677,4.5,shirt
Cotton Solid Casual Short Kurta for Men,Gauri Laxmi Enterprise,https://m.media-amazon.com/images/I/51OsJDlmF+L._AC_UL320_.jpg,279,184,3.1,shirt
Men's Cotton Solid Formal/Semi Formal Shirt,U-TURN,https://m.media-amazon.com/images/I/51inUyV2tdL._AC_UL320_.jpg,378,268,3.4,shirt
Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt,Lyriq,https://m.media-amazon.com/images/I/719CGT1cEmL._AC_UL320_.jpg,399,56,4.8,shirt
Men's Regular Fit Shirt,Amazon Brand - Symbol,https://m.media-amazon.com/images/I/71isliRHNfL._AC_UL320_.jpg,599,6714,3.9,shirt
Men Casual Shirt,HammerSmith,https://m.media-amazon.com/images/I/71WrFu4EVSL._AC_UL320_.jpg,599,1871,3.8,shirt
Men's Slim Fit Casual Shirt,Amazon Brand - Inkast Denim Co.,https://m.media-amazon.com/images/I/81EldXaltNL._AC_UL320_.jpg,639,808,3.8,shirt
Men's Slim Fit Shirt,United Colors of Benetton,https://m.media-amazon.com/images/I/91TSrMiDVRL._AC_UL320_.jpg,2999,133,3.8,shirt
Black Shirts,Parx,https://m.media-amazon.com/images/I/71DMRFKQf-L._AC_UL320_.jpg,1049,,,shirt
Dark Blue Shirts,Parx,https://m.media-amazon.com/images/I/71RlhqmmaTL._AC_UL320_.jpg,1199,,,shirt
Men's Cotton Shirt | Cotton Shirt | Comfortable Shirt for Men,Red Tape,https://m.media-amazon.com/images/I/61lUiPGSW3L._AC_UL320_.jpg,1259,,,shirt
Cotton Shirt for Men | Casual Full Sleeves Cotton Shirt,Red Tape,https://m.media-amazon.com/images/I/61Eg11QssAL._AC_UL400_.jpg,1294,,,shirt
Dark Brown Shirts,Parx,https://m.media-amazon.com/images/I/71kmQfjJmoL._AC_UL400_.jpg,779,,,shirt
Men's Slim Fit Shirt,United Colors of Benetton,https://m.media-amazon.com/images/I/91TSrMiDVRL._AC_UL400_.jpg,2999,133,3.8,shirt
Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt,Kizyoo,https://m.media-amazon.com/images/I/51IAvw-LKqL._AC_UL400_.jpg,499,,,shirt
Casual Shirt for Men| Shirts for Men| Mens Shirt| Fit Poplin Solid Shirts for Men| Button Down Shirts | Beach Wear| Short Sleeve Shirt Regular,GRECIILOOKS,https://m.media-amazon.com/images/I/51QlCU8cRWL._AC_UL400_.jpg,379,40,4.5,shirt
Men's Regular Fit Shirt,Amazon Brand - Symbol,https://m.media-amazon.com/images/I/71isliRHNfL._AC_UL400_.jpg,599,6714,3.9,shirt
Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt,Lyriq,https://m.media-amazon.com/images/I/719CGT1cEmL._AC_UL400_.jpg,399,56,4.8,shirt
Casual Shirt for Men| Shirts for Men| Mens Shirt| Printed Shirts for Men| Casual Shirts for Men| Floral Shirts for Men| Printed Beach Wear Men,GRECIILOOKS,https://m.media-amazon.com/images/I/819Go4UyJvL._AC_UL400_.jpg,379,63,4.6,shirt
Cotton Solid Casual Short Kurta for Men,Gauri Laxmi Enterprise,https://m.media-amazon.com/images/I/51OsJDlmF+L._AC_UL400_.jpg,279,184,3.1,shirt
Shirt for Men || Casual Shirt for Men || Men Stylish Shirt || Men Plain Shirt (Full Boult),Lymio,https://m.media-amazon.com/images/I/61GIFXX8XHL._AC_UL400_.jpg,499,8,4.5,shirt
Men's Slim Fit Casual Shirt,Amazon Brand - Inkast Denim Co.,https://m.media-amazon.com/images/I/81EldXaltNL._AC_UL400_.jpg,639,808,3.8,shirt
Men's Slim Fit Shirt,U-TURN,https://m.media-amazon.com/images/I/71K0lgxxUrL._AC_UL400_.jpg,378,3126,3.8,shirt
Shirt for Men || Rayon Shirts for Men || Batik Printed Shirts for Men || Hawaiin Collar Shirt for Boys || Cuff Full Sleeve Casual Shirt for Men.,OM SAI LATEST CREATION,https://m.media-amazon.com/images/I/515AlLii+WL._AC_UL400_.jpg,399,,,shirt
"Men's Cotton Solid Slim Fit Casual Shirt with Pocket, Full Sleeve Shirt for Formal & Casual Wear",Dennis Lingo,https://m.media-amazon.com/images/I/51Ah4FlLbJL._AC_UL400_.jpg,595,422,3.9,shirt
Men's Regular Fit Casual Shirt,Amazon Brand - Symbol,https://m.media-amazon.com/images/I/714UHLq6TgL._AC_UL400_.jpg,396,1133,4.0,shirt
Men's Slim Fit Casual Shirt,Dennis Lingo,https://m.media-amazon.com/images/I/71-0gpmRw4L._AC_UL400_.jpg,644,1931,4.0,shirt
Men's Striped Slim Fit Cotton Casual Shirt with Button Down Collar & Full Sleeves,Dennis Lingo,https://m.media-amazon.com/images/I/61bxWrzeEEL._AC_UL400_.jpg,566,12,3.9,shirt
Men Casual Shirt,Amazon Brand - Inkast Denim Co.,https://m.media-amazon.com/images/I/71c8qDeG5qL._AC_UL400_.jpg,649,3806,3.9,shirt
Shirt for Men || Casual Shirt for Men || Men Stylish Shirt || Men Plain Shirt (Half-01-10),Lymio,https://m.media-amazon.com/images/I/71m7VAJLrOL._AC_UL400_.jpg,479,129,4.3,shirt
Men Shirt,KETCH,https://m.media-amazon.com/images/I/91aOEWn04WL._AC_UL400_.jpg,390,,,shirt
"Men's Button Up Regular Fit Shirt for Casual Wear | Modern Clothing Shirt Crafted with Comfort Fit, High-Performance & Regular Sleeve for Everyday Wear",Instafab,https://m.media-amazon.com/images/I/71u1lEc5mvL._AC_UL400_.jpg,949,,,shirt
Dark Blue Shirts,Parx,https://m.media-amazon.com/images/I/71RlhqmmaTL._AC_UL400_.jpg,1199,,,shirt
Black Shirts,Parx,https://m.media-amazon.com/images/I/71DMRFKQf-L._AC_UL400_.jpg,1049,,,shirt
Men Blue Oxford Weave Plaid Check Cotton Casual Shirt,U.S. POLO ASSN.,https://m.media-amazon.com/images/I/71ZxKNU2SkL._AC_UL400_.jpg,1648,,,shirt
Men Navy Premium Cotton Tailored Regular Fit Solid Casual Shirt,U.S. POLO ASSN.,https://m.media-amazon.com/images/I/71ozNxK+A+L._AC_UL400_.jpg,1219,7,4.7,shirt
Men Shirt,Van Heusen,https://m.media-amazon.com/images/I/71s0a2Wcx0L._AC_UL400_.jpg,939,570,4.0,shirt
Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (J-Sheded),J B Fashion,https://m.media-amazon.com/images/I/61qEtHO-wDL._AC_UL400_.jpg,399,,,shirt
Men's Regular fit Full Sleeves Satin Shirts,Bowrain,https://m.media-amazon.com/images/I/61-IfXFVF-L._AC_UL400_.jpg,699,337,3.8,shirt
Casual Shirts for Menl Shirt for Men| Solid Slim Fit Shirt| Cotton Spread Collar Shirt| Pocket Shirts for Boys| Beach Wear Mens Shirt| Formal Cotton Shirts,GRECIILOOKS,https://m.media-amazon.com/images/I/61kwTTkam8L._AC_UL400_.jpg,369,76,4.4,shirt
Men's Regular Fit Casual Shirt,IndoPrimo,https://m.media-amazon.com/images/I/61Mbquhy2tL._AC_UL400_.jpg,499,5932,3.7,shirt
Men's Regular Casual Shirt,Amazon Brand - House & Shields,https://m.media-amazon.com/images/I/81qXnYZw1EL._AC_UL400_.jpg,381,1126,3.7,shirt
Men's Cotton Checkered Button Down Slim Fit Casual Shirt,Dennis Lingo,https://m.media-amazon.com/images/I/61SVOqL+GHL._AC_UL400_.jpg,649,1098,3.9,shirt
Men's Cotton Blend Stitched Solid Full Sleeve Shirt,LookMark,https://m.media-amazon.com/images/I/51vrKymduSL._AC_UL400_.jpg,349,71,4.8,shirt
Men Casual Shirt,Dennis Lingo,https://m.media-amazon.com/images/I/81Ey+UJyIIL._AC_UL400_.jpg,699,1178,3.8,shirt
Men's Slim Fit Shirt,Amazon Brand - Inkast Denim Co.,https://m.media-amazon.com/images/I/91YHT2Xmz0L._AC_UL400_.jpg,649,170,4.0,shirt
Men Shirt,Van Heusen,https://m.media-amazon.com/images/I/817OH8+AYhL._AC_UL400_.jpg,1039,235,4.0,shirt
Casual Shirt for Men| Shirts for Men| Mens Shirt| Printed Shirts for Men| Casual Shirts for Men| Floral Shirts for Men| Printed Beach Wear Men,GRECIILOOKS,https://m.media-amazon.com/images/I/61qpIJExfgL._AC_UL400_.jpg,379,4,5.0,shirt
Men's Striped Regular Fit Casual Shirt,Peppyzone,https://m.media-amazon.com/images/I/61F9wiUIAnL._AC_UL400_.jpg,689,814,3.4,shirt
Men's Solid Multicolor Mandarin Collar Half Sleeve Casual Shirt,GESPO,https://m.media-amazon.com/images/I/71zkdGE8twL._AC_UL400_.jpg,299,245,3.7,shirt
Hub Men's Digital Printed Stylish Shirts,parth fashion,https://m.media-amazon.com/images/I/41SlXVpgFlS._AC_UL400_.jpg,270,314,3.4,shirt
Men Shirt,Van Heusen,https://m.media-amazon.com/images/I/91UkWOqWk6L._AC_UL400_.jpg,1009,170,4.0,shirt
Men's Cotton Shirt | Solid Cotton Shirt | Full Sleeves Shirt,Red Tape,https://m.media-amazon.com/images/I/51NhlQF7HoL._AC_UL400_.jpg,1294,,,shirt
Casual Shirt for Men| Mens Shirt| Printed Shirts for Men| Casual Shirts for Men| Floral Shirts for Men| Beach Wear Men| Printed Stitched Half Sleeve Shirt,GRECIILOOKS,https://m.media-amazon.com/images/I/61s5nqG9vmL._AC_UL400_.jpg,379,1,5.0,shirt
Casual Shirt for Menl Shirts for Men| Rayon Shirt for Men| Hawaiian Collar Button Up Men's Shirt| Beach Wear Men| Quirky Printed Shirts for Men|Shirt for Men,GRECIILOOKS,https://m.media-amazon.com/images/I/613Oi8PQgQL._AC_UL400_.jpg,449,59,4.4,shirt
Shirt for Men || Casual Shirt for Men || Men Stylish Shirt || Men Printed Shirt,Lyriq,https://m.media-amazon.com/images/I/512IRSEdbBL._AC_UL400_.jpg,399,184,4.3,shirt
Men's Solid Slim Shirt (S23HMWT022_Custom Color White 40),Tommy Hilfiger,https://m.media-amazon.com/images/I/61Zu+oOdlsL._AC_UL400_.jpg,3999,,,shirt
Shirt for Men || Casual Shirt for Men || Men Stylish Shirt || Men Printed Shirt,Lyriq,https://m.media-amazon.com/images/I/71NATQ7qHnL._AC_UL400_.jpg,499,79,4.3,shirt
Men's Regular Fit Casual Shirt,Peppyzone,https://m.media-amazon.com/images/I/5181N-XpYYL._AC_UL400_.jpg,689,853,3.7,shirt
Men Solid Casual Cotton Shirt,Zartha,https://m.media-amazon.com/images/I/515NARcoWIL._AC_UL400_.jpg,524,189,3.8,shirt
Men Shirt,Arrow,https://m.media-amazon.com/images/I/61Pi7PbwnfL._AC_UL400_.jpg,874,1,2.0,shirt
Men's Slim Fit Casual Shirt,Amazon Brand - Inkast Denim Co.,https://m.media-amazon.com/images/I/81gifTXOdtL._AC_UL400_.jpg,609,2863,3.9,shirt
Men's Poly Cotton Digital Printed Half Sleeve Shirt,LookMark,https://m.media-amazon.com/images/I/61fak2Jx6lL._AC_UL400_.jpg,349,682,3.3,shirt
Men Men's Casual Shirts,U.S. POLO ASSN.,https://m.media-amazon.com/images/I/71rM5334EWL._AC_UL400_.jpg,1219,12,3.7,shirt
Men's Regular Casual Shirt,Amazon Brand - House & Shields,https://m.media-amazon.com/images/I/91R+SMllhFL._AC_UL400_.jpg,713,2765,3.8,shirt
Men's Regular Casual Shirt,Amazon Brand - Symbol,https://m.media-amazon.com/images/I/71+GmsGIobL._AC_UL400_.jpg,601,2357,4.0,shirt
Men Casual Shirt,Amazon Brand - Symbol,https://m.media-amazon.com/images/I/71mPeTpFWNL._AC_UL400_.jpg,739,852,3.9,shirt
"Ying Te Kai Men's Shirt Stays Upgrade Adjustable Elastic Garter Military Shirts Holder with Non-slip Locking Clamps (Black, free size)",Kedofe,https://m.media-amazon.com/images/I/81XSPgbZBeL._AC_UL400_.jpg,1749,4165,4.3,shirt
Men's Cotton Shirt | Cotton Shirt | Comfortable Shirt for Men,Red Tape,https://m.media-amazon.com/images/I/61lUiPGSW3L._AC_UL400_.jpg,1259,,,shirt
Men's Slim Fit Shirt,United Colors of Benetton,https://m.media-amazon.com/images/I/81ba1laHISL._AC_UL400_.jpg,2149,85,3.7,shirt
Men Teal Regular Fit Solid Cotton Casual Shirt,U.S. POLO ASSN.,https://m.media-amazon.com/images/I/711muq2HAsL._AC_UL400_.jpg,1269,3,3.0,shirt
Cotton Shirt for Men | Casual Full Sleeves Cotton Shirt,Red Tape,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Eg11QssAL._AC_UL320_.jpg,1294,,,shirt
Men's Slim Fit Shirt,United Colors of Benetton,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91TSrMiDVRL._AC_UL320_.jpg,2999,133,3.8,shirt
Dark Brown Shirts,Parx,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71kmQfjJmoL._AC_UL320_.jpg,779,,,shirt
Black Shirts,Parx,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71DMRFKQf-L._AC_UL320_.jpg,1049,,,shirt
Men Shirt,Levi's,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91k3CvNgKAL._AC_UL320_.jpg,1209,27,3.5,shirt
Men's Slim Fit Shirt,Allen Solly,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51+TeT++6dL._AC_UL320_.jpg,813,212,3.4,shirt
Men's Regular Fit Shirt,Allen Solly,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61UOfscarYL._AC_UL320_.jpg,710,212,3.7,shirt
Men's Slim Fit Shirt,Arrow,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81EiDTrk6bL._AC_UL320_.jpg,659,3,2.7,shirt
Men Green Cotton Silk Ethnic Shirt (VASMSH001GN),VASTRAMAY,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61lM5daAplL._AC_UL320_.jpg,474,144,4.0,shirt
Men Shirt,Van Heusen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81eT5MTvg5L._AC_UL320_.jpg,989,570,4.0,shirt
Men Light Blue Premium Cotton Tailored Regular Fit Solid Casual Shirt,U.S. POLO ASSN.,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/513+v4yfg7L._AC_UL320_.jpg,1259,4,4.7,shirt
Men's Multicolor Checkered Regular Fit Half Sleeve Cotton Shirts Plus Sizes for Men S to 6XL,Twist99,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81OC5Ml1zJL._AC_UL320_.jpg,995,49,3.4,shirt
Men Pink Spread Collar Cotton Solid Casual Shirt,U.S. POLO ASSN.,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61qQK5FYRbL._AC_UL320_.jpg,1219,7,4.8,shirt
Men Shirt,Arrow,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Pi7PbwnfL._AC_UL320_.jpg,874,1,2.0,shirt
Men Men's Casual Shirts,U.S. POLO ASSN.,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71enc+Q+X3L._AC_UL320_.jpg,1219,3,4.6,shirt
Men's Letter Print Straight Fit Shirt (KHSH000754_Navy/RED S),KETCH,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91kdRwlznIL._AC_UL320_.jpg,290,1,3.0,shirt
Men's Cotton Blend Full Sleeve Shirt | Stylish Printed Casual Wear Shirt for Mens,GRITSTONES,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61YQ-jKQmOL._AC_UL320_.jpg,350,3287,3.6,shirt
Men Formal Shirt,Arrow,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91+QPiP1oeL._AC_UL320_.jpg,1259,1,5.0,shirt
Men's Classic Fit Full Sleeve Casual Shirts,Zombom,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51yGd0fnCrL._AC_UL320_.jpg,629,274,3.7,shirt
Men's Fitted Shirt,Lee,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71FKgNTSayL._AC_UL320_.jpg,834,6,4.4,shirt
"Men's Button Up Regular Fit Shirt for Casual Wear | Modern Clothing Shirt Crafted with Comfort Fit, High-Performance & Regular Sleeve for Everyday Wear",Instafab,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71u1lEc5mvL._AC_UL320_.jpg,949,,,shirt
Dark Blue Shirts,Parx,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71RlhqmmaTL._AC_UL320_.jpg,1199,,,shirt
Men's Slim Fit Shirt,United Colors of Benetton,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81ba1laHISL._AC_UL320_.jpg,2149,85,3.7,shirt
Men Blue Oxford Weave Plaid Check Cotton Casual Shirt,U.S. POLO ASSN.,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ZxKNU2SkL._AC_UL320_.jpg,1648,,,shirt
Men's Solid Slim Shirt (JELPPL_Navy Blue XL),JEFF ERIC,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61oqdutzXbL._AC_UL320_.jpg,399,,,shirt
Men Multicolor Striped Shirt,Red Tape,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81ahbMMZ3fL._AC_UL320_.jpg,857,19,3.7,shirt
Men's Shirt,Allen Solly,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51sBTbV7i2L._AC_UL320_.jpg,1049,1,4.0,shirt
Men's Checkered Button Down Slim Fit Cotton Casual Shirt,OM SAI LATEST CREATION,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61FPM9hsZZL._AC_UL320_.jpg,279,6,4.0,shirt
Men's Regular Fit Button Down Shirt,Red Tape,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/716175dfTQL._AC_UL320_.jpg,934,12,4.7,shirt
Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Sheded Rose),Lymio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71dHMIlgc5L._AC_UL320_.jpg,399,34,4.4,shirt
Blue Slim Fit Cotton Blend Shirt,Park Avenue,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/911o6nOISvL._AC_UL320_.jpg,769,1664,3.9,shirt
Men's Regular Fit Shirt (PESFONUF745841_Grey,Peter England,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61FwsY1mJbL._AC_UL320_.jpg,929,,,shirt
